applicant_id,channel,group,city,application_date,background_check_completed_date,background_check_initiated_date,card_activation_date,card_mailed_date,first_batch_completed_date,orientation_completed_date,converted,bg_initiated,bg_completed,card_activated,orientation_done,ttfb_days,t_app_to_bginit,t_bginit_to_bgd,t_bgd_to_first
10001,web-search-engine,control,Asgard,2018-10-01,,,,2018-10-01,,2018-10-03,False,False,False,False,True,,,,
10002,social-media,control,Midgard,2018-10-01,2018-10-17,2018-10-12,2018-10-12,2018-10-01,2018-10-20,,True,True,True,True,False,19.0,11.0,5.0,3.0
10003,web-search-engine,treatment,Midgard,2018-10-01,2018-10-08,2018-10-01,2018-10-04,2018-10-02,,2018-10-05,False,True,True,True,True,,0.0,7.0,
10004,social-media,treatment,Asgard,2018-10-01,2018-10-05,2018-10-01,2018-10-04,2018-10-01,2018-10-06,,True,True,True,True,False,5.0,0.0,4.0,1.0
10005,social-media,treatment,Midgard,2018-10-01,2018-10-07,2018-10-01,2018-10-08,2018-10-01,2018-10-08,2018-10-01,True,True,True,True,True,7.0,0.0,6.0,1.0
10006,job-search-site,control,Asgard,2018-10-01,,,,2018-10-01,,,False,False,False,False,False,,,,
10007,social-media,control,Midgard,2018-10-01,2018-10-11,2018-10-07,2018-10-07,2018-10-02,2018-10-14,,True,True,True,True,False,13.0,6.0,4.0,3.0
10008,web-search-engine,control,Asgard,2018-10-01,,,,2018-10-02,,,False,False,False,False,False,,,,
10009,social-media,control,Helheim,2018-10-01,2018-10-09,2018-10-04,2018-10-04,2018-10-01,2018-10-09,,True,True,True,True,False,8.0,3.0,5.0,0.0
10010,job-search-site,control,Asgard,2018-10-01,2018-10-08,2018-10-05,2018-10-05,2018-10-02,2018-10-10,,True,True,True,True,False,9.0,4.0,3.0,2.0
10011,social-media,treatment,Midgard,2018-10-01,2018-10-04,2018-10-01,2018-10-05,2018-10-01,2018-10-06,,True,True,True,True,False,5.0,0.0,3.0,2.0
10012,job-search-site,control,Midgard,2018-10-01,2018-10-09,2018-10-05,2018-10-05,2018-10-02,2018-10-09,,True,True,True,True,False,8.0,4.0,4.0,0.0
10013,web-search-engine,control,Asgard,2018-10-01,2018-10-09,2018-10-03,2018-10-03,2018-10-01,2018-10-14,,True,True,True,True,False,13.0,2.0,6.0,5.0
10014,web-search-engine,control,Asgard,2018-10-01,2018-10-05,2018-10-03,2018-10-03,2018-10-01,2018-10-06,2018-10-07,True,True,True,True,True,5.0,2.0,2.0,1.0
10015,social-media,control,Asgard,2018-10-01,2018-10-08,2018-10-03,2018-10-03,2018-10-01,2018-10-10,2018-10-10,True,True,True,True,True,9.0,2.0,5.0,2.0
10016,web-search-engine,control,Alfheim,2018-10-01,2018-10-10,2018-10-03,2018-10-03,2018-10-01,2018-10-11,2018-10-01,True,True,True,True,True,10.0,2.0,7.0,1.0
10017,web-search-engine,control,Jotunheim,2018-10-01,2018-10-11,2018-10-08,2018-10-08,2018-10-01,,2018-10-05,False,True,True,True,True,,7.0,3.0,
10018,web-search-engine,control,Midgard,2018-10-01,2018-10-12,2018-10-05,2018-10-05,2018-10-01,,2018-10-05,False,True,True,True,True,,4.0,7.0,
10019,web-search-engine,treatment,Asgard,2018-10-01,2018-10-05,2018-10-01,2018-10-05,2018-10-02,2018-10-07,,True,True,True,True,False,6.0,0.0,4.0,2.0
10020,web-search-engine,control,Midgard,2018-10-01,2018-10-08,2018-10-05,2018-10-05,2018-10-02,,,False,True,True,True,False,,4.0,3.0,
10021,social-media,control,Midgard,2018-10-01,2018-10-07,2018-10-04,2018-10-04,2018-10-02,,,False,True,True,True,False,,3.0,3.0,
10022,social-media,control,Asgard,2018-10-01,2018-10-12,2018-10-08,2018-10-08,2018-10-01,,,False,True,True,True,False,,7.0,4.0,
10023,web-search-engine,control,Asgard,2018-10-01,2018-10-07,2018-10-03,2018-10-03,2018-10-01,2018-10-11,,True,True,True,True,False,10.0,2.0,4.0,4.0
10024,social-media,treatment,Midgard,2018-10-01,2018-10-05,2018-10-01,2018-10-05,2018-10-02,2018-10-05,,True,True,True,True,False,4.0,0.0,4.0,0.0
10025,web-search-engine,treatment,Midgard,2018-10-01,2018-10-04,2018-10-01,2018-10-05,2018-10-01,2018-10-06,2018-10-09,True,True,True,True,True,5.0,0.0,3.0,2.0
10026,social-media,treatment,Asgard,2018-10-01,2018-10-06,2018-10-01,2018-10-07,2018-10-02,,,False,True,True,True,False,,0.0,5.0,
10027,web-search-engine,treatment,Asgard,2018-10-01,2018-10-06,2018-10-01,2018-10-07,2018-10-01,,2018-10-07,False,True,True,True,True,,0.0,5.0,
10028,social-media,control,Midgard,2018-10-01,2018-10-08,2018-10-04,2018-10-04,2018-10-01,,,False,True,True,True,False,,3.0,4.0,
10029,web-search-engine,treatment,Midgard,2018-10-01,2018-10-05,2018-10-01,2018-10-06,2018-10-02,,2018-10-01,False,True,True,True,True,,0.0,4.0,
10030,web-search-engine,control,Midgard,2018-10-01,2018-10-11,2018-10-06,2018-10-06,2018-10-01,,2018-10-04,False,True,True,True,True,,5.0,5.0,
10031,social-media,control,Asgard,2018-10-01,2018-10-07,2018-10-04,2018-10-04,2018-10-01,2018-10-09,2018-10-03,True,True,True,True,True,8.0,3.0,3.0,2.0
10032,web-search-engine,treatment,Niflheim,2018-10-01,2018-10-05,2018-10-01,2018-10-04,2018-10-02,,2018-10-07,False,True,True,True,True,,0.0,4.0,
10033,social-media,control,Vanaheim,2018-10-01,2018-10-11,2018-10-08,2018-10-08,2018-10-02,2018-10-13,2018-10-06,True,True,True,True,True,12.0,7.0,3.0,2.0
10034,web-search-engine,control,Muspelheim,2018-10-01,2018-10-13,2018-10-05,2018-10-05,2018-10-02,2018-10-14,,True,True,True,True,False,13.0,4.0,8.0,1.0
10035,social-media,control,Midgard,2018-10-01,2018-10-10,2018-10-07,2018-10-07,2018-10-02,2018-10-15,,True,True,True,True,False,14.0,6.0,3.0,5.0
10036,social-media,control,Vanaheim,2018-10-01,2018-10-17,2018-10-13,2018-10-13,2018-10-02,2018-10-19,,True,True,True,True,False,18.0,12.0,4.0,2.0
10037,job-search-site,control,Midgard,2018-10-01,2018-10-07,2018-10-04,2018-10-04,2018-10-02,2018-10-08,,True,True,True,True,False,7.0,3.0,3.0,1.0
10038,job-search-site,control,Vanaheim,2018-10-01,2018-10-07,2018-10-04,2018-10-04,2018-10-02,,2018-10-03,False,True,True,True,True,,3.0,3.0,
10039,social-media,control,Asgard,2018-10-01,2018-10-12,2018-10-07,2018-10-07,2018-10-02,,,False,True,True,True,False,,6.0,5.0,
10040,social-media,control,Asgard,2018-10-01,2018-10-19,2018-10-13,2018-10-13,2018-10-01,,,False,True,True,True,False,,12.0,6.0,
10041,web-search-engine,control,Vanaheim,2018-10-01,2018-10-10,2018-10-05,2018-10-05,2018-10-02,2018-10-11,,True,True,True,True,False,10.0,4.0,5.0,1.0
10042,web-search-engine,treatment,Alfheim,2018-10-01,2018-10-06,2018-10-01,2018-10-07,2018-10-02,2018-10-09,2018-10-05,True,True,True,True,True,8.0,0.0,5.0,3.0
10043,social-media,treatment,Niflheim,2018-10-01,2018-10-05,2018-10-01,2018-10-05,2018-10-02,2018-10-08,,True,True,True,True,False,7.0,0.0,4.0,3.0
10044,web-search-engine,control,Asgard,2018-10-01,2018-10-09,2018-10-05,2018-10-05,2018-10-02,,,False,True,True,True,False,,4.0,4.0,
10045,social-media,control,Asgard,2018-10-01,2018-10-13,2018-10-11,2018-10-11,2018-10-01,,,False,True,True,True,False,,10.0,2.0,
10046,social-media,control,Midgard,2018-10-01,2018-10-07,2018-10-05,2018-10-05,2018-10-01,,2018-10-09,False,True,True,True,True,,4.0,2.0,
10047,social-media,control,Vanaheim,2018-10-01,2018-10-07,2018-10-05,2018-10-05,2018-10-02,2018-10-10,,True,True,True,True,False,9.0,4.0,2.0,3.0
10048,job-search-site,control,Vanaheim,2018-10-01,2018-10-08,2018-10-04,2018-10-04,2018-10-02,2018-10-10,2018-10-03,True,True,True,True,True,9.0,3.0,4.0,2.0
10049,social-media,control,Asgard,2018-10-01,2018-10-11,2018-10-06,2018-10-06,2018-10-01,,,False,True,True,True,False,,5.0,5.0,
10050,social-media,control,Asgard,2018-10-01,2018-10-10,2018-10-07,2018-10-07,2018-10-02,2018-10-12,,True,True,True,True,False,11.0,6.0,3.0,2.0
10051,social-media,treatment,Asgard,2018-10-01,2018-10-06,2018-10-01,2018-10-06,2018-10-01,2018-10-07,,True,True,True,True,False,6.0,0.0,5.0,1.0
10052,social-media,treatment,Asgard,2018-10-01,2018-10-06,2018-10-01,2018-10-09,2018-10-02,,,False,True,True,True,False,,0.0,5.0,
10053,job-search-site,control,Asgard,2018-10-01,2018-10-09,2018-10-04,2018-10-04,2018-10-02,,2018-10-01,False,True,True,True,True,,3.0,5.0,
10054,job-search-site,treatment,Asgard,2018-10-01,2018-10-05,2018-10-01,2018-10-07,2018-10-02,,,False,True,True,True,False,,0.0,4.0,
10055,web-search-engine,treatment,Midgard,2018-10-01,2018-10-04,2018-10-01,2018-10-06,2018-10-02,,2018-10-06,False,True,True,True,True,,0.0,3.0,
10056,web-search-engine,treatment,Niflheim,2018-10-01,2018-10-04,2018-10-01,2018-10-05,2018-10-02,2018-10-07,2018-10-03,True,True,True,True,True,6.0,0.0,3.0,3.0
10057,web-search-engine,treatment,Alfheim,2018-10-01,2018-10-06,2018-10-01,2018-10-08,2018-10-01,,2018-10-03,False,True,True,True,True,,0.0,5.0,
10058,social-media,control,Midgard,2018-10-01,2018-10-12,2018-10-10,2018-10-10,2018-10-01,,,False,True,True,True,False,,9.0,2.0,
10059,web-search-engine,control,Midgard,2018-10-01,,,,2018-10-01,,,False,False,False,False,False,,,,
10060,job-search-site,treatment,Asgard,2018-10-01,2018-10-04,2018-10-01,2018-10-05,2018-10-02,2018-10-07,2018-10-01,True,True,True,True,True,6.0,0.0,3.0,3.0
10061,web-search-engine,control,Asgard,2018-10-01,2018-10-06,2018-10-04,2018-10-04,2018-10-01,,2018-10-08,False,True,True,True,True,,3.0,2.0,
10062,social-media,treatment,Midgard,2018-10-01,2018-10-04,2018-10-01,2018-10-22,2018-10-02,,,False,True,True,True,False,,0.0,3.0,
10063,web-search-engine,treatment,Midgard,2018-10-01,2018-10-04,2018-10-01,2018-10-04,2018-10-02,,,False,True,True,True,False,,0.0,3.0,
10064,web-search-engine,control,Midgard,2018-10-01,2018-10-07,2018-10-05,2018-10-05,2018-10-01,,,False,True,True,True,False,,4.0,2.0,
10065,web-search-engine,treatment,Midgard,2018-10-01,2018-10-06,2018-10-01,2018-10-07,2018-10-01,,,False,True,True,True,False,,0.0,5.0,
10066,web-search-engine,control,Midgard,2018-10-01,2018-10-08,2018-10-03,2018-10-03,2018-10-01,,,False,True,True,True,False,,2.0,5.0,
10067,social-media,control,Midgard,2018-10-01,2018-10-06,2018-10-03,2018-10-03,2018-10-01,,2018-10-09,False,True,True,True,True,,2.0,3.0,
10068,job-search-site,control,Midgard,2018-10-01,,,,2018-10-02,,2018-10-02,False,False,False,False,True,,,,
10069,social-media,control,Midgard,2018-10-01,2018-10-08,2018-10-04,2018-10-04,2018-10-01,2018-10-10,,True,True,True,True,False,9.0,3.0,4.0,2.0
10070,job-search-site,treatment,Asgard,2018-10-01,2018-10-03,2018-10-01,2018-10-08,2018-10-02,2018-10-09,2018-10-04,True,True,True,True,True,8.0,0.0,2.0,6.0
10071,job-search-site,treatment,Alfheim,2018-10-01,2018-10-04,2018-10-01,2018-10-08,2018-10-02,,,False,True,True,True,False,,0.0,3.0,
10072,social-media,control,Alfheim,2018-10-01,2018-10-10,2018-10-05,2018-10-05,2018-10-02,2018-10-11,2018-10-06,True,True,True,True,True,10.0,4.0,5.0,1.0
10073,web-search-engine,control,Midgard,2018-10-01,2018-10-10,2018-10-07,2018-10-07,2018-10-01,,2018-10-06,False,True,True,True,True,,6.0,3.0,
10074,social-media,control,Midgard,2018-10-01,2018-10-12,2018-10-09,2018-10-09,2018-10-01,2018-10-14,,True,True,True,True,False,13.0,8.0,3.0,2.0
10075,web-search-engine,treatment,Midgard,2018-10-01,2018-10-05,2018-10-01,2018-10-06,2018-10-01,,,False,True,True,True,False,,0.0,4.0,
10076,job-search-site,control,Midgard,2018-10-01,2018-10-09,2018-10-03,2018-10-03,2018-10-01,,2018-10-03,False,True,True,True,True,,2.0,6.0,
